label,timestamp,duration,pkg,dram,socket
optimized,1572277563.2200263,1851948.459,47957946.0,2792961.0,0
prefetch,1572277565.0724638,11207814.653,280420791.0,17465471.0,0
naive,1572277576.280553,32015441.225,790547780.0,44676521.0,0
optimized,1572277608.2962654,1872509.595,48671872.0,2973320.0,0
prefetch,1572277610.1690557,11334001.649,282546946.0,17811417.0,0
naive,1572277621.5032845,32073728.383,786673157.0,44702339.0,0
optimized,1572277653.577302,1916113.509,49606013.0,3092216.0,0
prefetch,1572277655.4936912,11262791.888,279567582.0,17789078.0,0
naive,1572277666.7567582,31996539.574,787815916.0,44547738.0,0
optimized,1572277698.7535894,1876265.267,48508848.0,2970452.0,0
prefetch,1572277700.6301167,11247620.306,281134961.0,17656082.0,0
naive,1572277711.8780534,32052187.2,792278368.0,44759163.0,0
optimized,1572277743.9305139,1870241.382,48650754.0,2964409.0,0
prefetch,1572277745.8009999,11212334.28,279331317.0,17546281.0,0
naive,1572277757.013594,32100994.648,794840250.0,44855537.0,0
optimized,1572277887.08355,1829310.883,47798828.0,2763360.0,0
prefetch,1572277888.913402,11263590.343,281982555.0,17579728.0,0
naive,1572277900.1772642,32318105.009,794541850.0,45072638.0,0
optimized,1572277932.4956396,1873542.036,48280516.0,2969475.0,0
prefetch,1572277934.3694544,11482981.614,284034429.0,18035721.0,0
naive,1572277945.852709,32331007.031,798419282.0,45028266.0,0
optimized,1572277978.18399,1897414.247,49204769.0,3054191.0,0
prefetch,1572277980.0816154,11380452.79,282602548.0,17924576.0,0
naive,1572277991.462343,32267163.481,799238433.0,44919135.0,0
optimized,1572278023.7297819,1863088.337,48440123.0,2945305.0,0
prefetch,1572278025.5931392,11214141.356,280999463.0,17560502.0,0
naive,1572278036.8075547,32189898.403,796346839.0,44899849.0,0
optimized,1572278068.9977307,1854178.167,48478452.0,2934807.0,0
prefetch,1572278070.8521793,11278317.849,281089185.0,17619950.0,0
naive,1572278082.1307693,32305858.354,796490759.0,45130133.0,0
optimized,1572278114.4369056,1831610.713,47907836.0,2869744.0,0
prefetch,1572278116.2687855,11285326.216,280763381.0,17609330.0,0
naive,1572278127.5543816,32263752.975,797579318.0,45088019.0,0
optimized,1572278159.818411,1828851.56,48081664.0,2874810.0,0
prefetch,1572278161.6475306,11369189.999,282447092.0,17988113.0,0
naive,1572278173.01699,32206203.001,793851422.0,44841499.0,0
optimized,1572278205.2234674,1824093.756,47805176.0,2868462.0,0
prefetch,1572278207.0477664,11203474.169,279080584.0,17559281.0,0
naive,1572278218.2514796,32153155.532,793693830.0,44854438.0,0
optimized,1572278250.4049134,1900180.872,48974362.0,3052239.0,0
prefetch,1572278252.305367,11143289.084,276085048.0,17297868.0,0
naive,1572278263.4489357,32327513.776,795209817.0,45181037.0,0
optimized,1572278295.7767267,1874673.206,48585263.0,2968621.0,0
prefetch,1572278297.6516693,11295758.352,280162796.0,17685989.0,0
naive,1572278308.9476986,32215738.139,804016924.0,45034309.0,0
optimized,1572278341.16372,1881744.061,49491817.0,3015861.0,0
prefetch,1572278343.0457358,11351870.457,285032168.0,17942154.0,0
naive,1572278354.3978748,32247256.998,798991851.0,44878303.0,0
optimized,1572278386.645409,1880367.09,49000302.0,3007500.0,0
prefetch,1572278388.526074,11498657.645,286440062.0,18129958.0,0
naive,1572278400.0250037,32465735.711,800846400.0,45189643.0,0
optimized,1572278432.4910176,1879654.528,48599180.0,3004387.0,0
prefetch,1572278434.3709416,11369003.06,283417426.0,17928727.0,0
naive,1572278445.7402174,32395869.877,797877535.0,45074164.0,0
optimized,1572278478.1363626,1866731.094,48221434.0,2955009.0,0
prefetch,1572278480.0033603,11267753.349,279403154.0,17654618.0,0
naive,1572278491.2713645,32131720.383,793607588.0,44855904.0,0
optimized,1572278523.4033544,1854675.933,48625059.0,2930473.0,0
prefetch,1572278525.2582974,11361167.738,281441785.0,17748001.0,0
naive,1572278536.6197379,32370704.866,796757909.0,45250800.0,0
optimized,1572278568.9907217,1835434.953,47874694.0,2883171.0,0
prefetch,1572278570.8264215,11388331.12,282581369.0,17877579.0,0
naive,1572278582.2150621,32133864.683,795459694.0,44792060.0,0
optimized,1572278614.3492026,1892236.09,49607600.0,3049370.0,0
prefetch,1572278616.2417073,11126982.276,279913102.0,17312578.0,0
naive,1572278627.3689616,32109345.819,803837542.0,44911384.0,0
optimized,1572278659.4785347,1874459.653,49185909.0,2996147.0,0
prefetch,1572278661.3532653,11176352.943,279004962.0,17407609.0,0
naive,1572278672.5298913,32274805.369,807581734.0,45156623.0,0
optimized,1572278704.8049874,1883458.207,49417781.0,3013664.0,0
prefetch,1572278706.6887164,11164074.195,278167806.0,17377153.0,0
naive,1572278717.853063,32359328.848,805583387.0,45250250.0,0
optimized,1572278750.212671,1873676.991,49733576.0,3000664.0,0
prefetch,1572278752.0866175,11220235.516,279436480.0,17466263.0,0
naive,1572278763.3071275,32305529.104,800484339.0,45191901.0,0
optimized,1572278795.6129475,1878087.56,49188107.0,3009025.0,0
prefetch,1572278797.4912791,11211943.303,278626850.0,17454973.0,0
naive,1572278808.7034392,32356023.254,797981173.0,45241217.0,0
optimized,1572278841.0597377,1865938.575,48802792.0,2986565.0,0
prefetch,1572278842.9259496,11251990.322,278479024.0,17501542.0,0
naive,1572278854.1782458,32464275.813,795403725.0,45407476.0,0
optimized,1572278886.642793,1887458.223,48589598.0,3018730.0,0
prefetch,1572278888.5305202,11215756.96,278741534.0,17449418.0,0
naive,1572278899.7465484,32415795.719,797582370.0,45345832.0,0
optimized,1572278932.1626334,1884267.49,48933408.0,3014701.0,0
prefetch,1572278934.0471706,11232603.565,278237569.0,17459062.0,0
naive,1572278945.2800431,32373060.043,794384502.0,45256049.0,0
optimized,1572278977.653383,1876369.598,48561216.0,2999626.0,0
prefetch,1572278979.530069,11232380.381,280820204.0,17463761.0,0
naive,1572278990.7627223,32389455.936,794855143.0,45309760.0,0
optimized,1572279023.1524668,1886202.836,48679196.0,3019951.0,0
prefetch,1572279025.038937,11192241.223,277416282.0,17442643.0,0
naive,1572279036.2314477,32266456.219,798388703.0,45126593.0,0
optimized,1572279068.4982188,1878508.202,48659788.0,3004021.0,0
prefetch,1572279070.3769994,11144815.609,278212117.0,17357011.0,0
naive,1572279081.5221035,32179386.384,793435591.0,45014472.0,0
optimized,1572279113.701742,1885611.213,48989621.0,3018242.0,0
prefetch,1572279115.5876195,11152251.109,279161028.0,17363542.0,0
naive,1572279126.7400968,32318958.856,793531111.0,45213263.0,0
optimized,1572279159.059346,1888438.284,49071163.0,3021416.0,0
prefetch,1572279160.9480681,11250191.911,277889304.0,17524857.0,0
naive,1572279172.1985,32527995.286,795018716.0,45493597.0,0
optimized,1572279204.7267432,1890345.668,48706358.0,3025566.0,0
prefetch,1572279206.6173666,11166683.052,278120503.0,17385088.0,0
naive,1572279217.7843218,32423779.211,794476787.0,45365240.0,0
optimized,1572279250.2083905,1889938.35,48720335.0,3029350.0,0
prefetch,1572279252.0986054,11276601.021,279678483.0,17525346.0,0
naive,1572279263.3754804,32426000.996,795508461.0,45361395.0,0
optimized,1572279295.801714,1887858.159,48742063.0,3024162.0,0
prefetch,1572279297.689844,11243079.861,277509544.0,17501542.0,0
naive,1572279308.9331853,32306761.38,794557781.0,45212897.0,0
optimized,1572279341.2402291,1882252.415,48858273.0,3012932.0,0
prefetch,1572279343.1227505,11169975.704,276014186.0,17373124.0,0
naive,1572279354.2930014,32258748.003,791050160.0,45135932.0,0
optimized,1572279386.5520263,1882716.042,48579404.0,3010185.0,0
prefetch,1572279388.4350085,11186641.6,277545676.0,17407609.0,0
naive,1572279399.6219294,32327471.613,793454878.0,45239936.0,0
optimized,1572279431.949691,1890198.048,48898251.0,3028251.0,0
prefetch,1572279433.8401544,11233591.137,280229202.0,17496049.0,0
naive,1572279445.0740476,32440199.085,800026700.0,45366278.0,0
optimized,1572279477.514483,1879105.448,48689267.0,3010552.0,0
prefetch,1572279479.393859,11172346.129,279036578.0,17406815.0,0
naive,1572279490.5664814,32264754.229,795085245.0,45144171.0,0
optimized,1572279522.8315125,1880000.447,48526853.0,3011894.0,0
prefetch,1572279524.7117817,11172132.813,277983481.0,17401384.0,0
naive,1572279535.8841891,32219043.415,793311873.0,45073737.0,0
optimized,1572279568.1034741,1881193.407,48594052.0,3014458.0,0
prefetch,1572279569.984937,11183312.731,277875693.0,17411271.0,0
naive,1572279581.168517,32218582.546,793565717.0,45075263.0,0
optimized,1572279613.387378,1882554.447,48714719.0,3015984.0,0
prefetch,1572279615.2702506,11168539.708,278414571.0,17389970.0,0
naive,1572279626.439064,32280255.44,799220732.0,45145697.0,0
optimized,1572279658.719561,1884000.928,48805722.0,3017754.0,0
prefetch,1572279660.6038332,11125122.333,278809955.0,17324723.0,0
naive,1572279671.729231,32214898.206,798529328.0,45068061.0,0
optimized,1572279703.9444005,1877087.902,48837583.0,3010918.0,0
prefetch,1572279705.8217633,11152939.123,278294880.0,17385148.0,0
naive,1572279716.974975,32258898.182,794609965.0,45121406.0,0
optimized,1572279749.2341807,1883862.715,48530576.0,3013786.0,0
prefetch,1572279751.118315,11175534.235,277737754.0,17416887.0,0
naive,1572279762.2941592,32297305.639,795712501.0,45187384.0,0
optimized,1572279794.5917392,1878815.387,49138607.0,3007195.0,0
prefetch,1572279796.4708228,11152438.788,279696062.0,17392228.0,0
naive,1572279807.6235318,32223539.436,793553327.0,44990852.0,0
optimized,1572279839.8473442,1888608.602,48738218.0,3035270.0,0
prefetch,1572279841.7362242,11357899.098,282195811.0,17922439.0,0
naive,1572279853.0943975,32234109.446,795244913.0,44846809.0,0
optimized,1572279885.328786,1860193.053,48248717.0,2949821.0,0
prefetch,1572279887.189251,11198921.826,278707843.0,17478532.0,0
naive,1572279898.388444,32245835.0,801006556.0,45016303.0,0
optimized,1572279930.634556,1891474.756,49021481.0,3035576.0,0
prefetch,1572279932.5262687,11326497.172,283888433.0,17888565.0,0
naive,1572279943.853039,32311392.63,794379009.0,44975959.0,0
optimized,1572279976.164712,1877868.455,48314696.0,2977592.0,0
prefetch,1572279978.0428495,11234278.642,277768759.0,17543840.0,0
naive,1572279989.2774014,32359274.652,790451712.0,45183661.0,0
optimized,1572280021.6369538,1898270.872,48872738.0,3048637.0,0
prefetch,1572280023.5354934,11390952.716,281035169.0,17981766.0,0
naive,1572280034.926719,32363265.607,790983632.0,45037787.0,0
optimized,1572280067.2902749,1859752.996,48204589.0,2947380.0,0
prefetch,1572280069.1502957,11327189.59,280465895.0,17828385.0,0
naive,1572280080.4777565,32372524.216,797876986.0,45122626.0,0
optimized,1572280112.8505714,1859441.032,48547056.0,2950676.0,0
prefetch,1572280114.7102807,11334980.184,281175245.0,17698807.0,0
naive,1572280126.0455363,32433493.347,796711461.0,45300604.0,0
